artikelnummer	de	en	fr
AQ041P20	Winkel 45° I/A d20 mm	Elbow 45° m/f d20 mm	Coude 45° (femelle/mâle) d20 mm
AQ041P25	Winkel 45° I/A d25 mm	Elbow 45° m/f d25 mm	Coude 45° (femelle/mâle) d25 mm
AQ045P110	Winkel 45° d110 mm	Elbow 45° d110 mm	Coude 45° d110 mm
AQ045P125	Winkel 45° d125 mm	Elbow 45° d125 mm	Coude 45° d20 mm d125 mm
AQ045P160	Winkel 45° (SDR 11) d160 mm	Elbow 45° d160 mm (SDR 11)	Coude 45° d160 mm (SDR 11)
AQ045P20	Winkel 45° d20 mm	Elbow 45° d20 mm	Coude 45° d20 mm
AQ045P200	Winkel 45° (SDR 11) d200 mm	Elbow 45° d200 mm (SDR 11)	Coude 45° d200 mm (SDR 11)
AQ045P25	Winkel 45° d25 mm	Elbow 45° d25 mm	Coude 45° d25 mm
AQ045P250	Winkel 45° (SDR 11) d250 mm	Elbow 45° d250 mm (SDR 11)	Coude 45° d250 mm (SDR 11)
AQ045P315	Winkel 45° (SDR 11) d315 mm	Elbow 45° d315 mm (SDR 11)	Coude 45° d315 mm (SDR 11)
AQ045P32	Winkel 45° d32 mm	Elbow 45° d32 mm	Coude 45° d32 mm
AQ045P40	Winkel 45° d40 mm	Elbow 45° d40 mm	Coude 45° d40 mm
AQ045P50	Winkel 45° d50 mm	Elbow 45° d50 mm	Coude 45° d50 mm
AQ045P63	Winkel 45° d63 mm	Elbow 45° d63 mm	Coude 45° d63 mm
AQ045P75	Winkel 45° d75 mm	Elbow 45° d75 mm	Coude 45° d75 mm
AQ045P90	Winkel 45° d90 mm	Elbow 45° d90 mm	Coude 45° d90 mm
AQ0906GP321	Winkel 90° IG d32-1" Hexa 6-Kant	Elbow 90° "f" d32-1" Hexa	Coude 90° (filetage femelle Hexa) d32-1"
AQ090GP2012	Winkel 90° IG d20-1/2"	Elbow 90° "f" d20-1/2"	Coude 90° (filetage femelle) d20-1/2"
AQ090GP2512	Winkel 90° IG d25-1/2"	Elbow 90° "f" d25-1/2"	Coude 90° (filetage femelle) d25-1/2"
AQ090GP2534	Winkel 90° IG d25-3/4"	Elbow 90° "f" d25-3/4"	Coude 90° (filetage femelle) d25-3/4"
AQ090GP321	Winkel 90° IG d32-1"	Elbow 90° "f" d32-1" mm	Coude 90° (filetage femelle) d32-1" mm
AQ090GP3234	Winkel 90° IG d32-3/4"	Elbow 90° "f" d32-3/4"	Coude 90° (filetage femelle) d32-3/4"
AQ090LP25	Bogen 90° d25 mm	Elbow 90° d25 mm	Coude 90° d25 mm
AQ090LP32	Bogen 90° d32 mm	Elbow 90° d32 mm	Coude 90° d32 mm
AQ090P110	Winkel 90° d110 mm	Elbow 90° d110 mm	Coude 90° d110 mm
AQ090P125	Winkel 90° d125 mm	Elbow 90° d125 mm	Coude 90° d125 mm
AQ090P160	Winkel 90° (SDR 11) d160 mm	Elbow 90° d160 mm (SDR 11)	Coude 90° d160 mm (SDR 11)
AQ090P20	Winkel 90° d20 mm	Elbow 90° d20 mm	Coude 90° d20 mm
AQ090P200	Winkel 90° (SDR 11) d200 mm	Elbow 90° d200 mm (SDR 11)	Coude 90° d200 mm (SDR 11)
AQ090P25	Winkel 90° d25 mm	Elbow 90° d25 mm	Coude 90° d25 mm
AQ090P250	Winkel 90° (SDR 11) d250 mm	Elbow 90° d250 mm (SDR 11)	Coude 90° d250 mm (SDR 11)
AQ090P315	Winkel 90° (SDR 11) d315 mm	Elbow 90° d315 mm (SDR 11)	Coude 90° d315 mm (SDR 11)
AQ090P32	Winkel 90° d32 mm	Elbow 90° d32 mm	Coude 90° d32 mm
AQ090P40	Winkel 90° d40 mm	Elbow 90° d40 mm	Coude 90° d40 mm
AQ090P50	Winkel 90° d50 mm	Elbow 90° d50 mm	Coude 90° d50 mm
AQ090P63	Winkel 90° d63 mm	Elbow 90° d63 mm	Coude 90° d63 mm
AQ090P75	Winkel 90° d75 mm	Elbow 90° d75 mm	Coude 90° d75 mm
AQ090P90	Winkel 90° d90 mm	Elbow 90° d90 mm	Coude 90° d90 mm
AQ091GP2012	Winkel 90° I/A IG d20-1/2" 	Elbow 90° "f" d20-1/2"	Coude 90° (filetage femelle) d20-1/2"
AQ091P20	Winkel 90° I/A d20 mm	Elbow 90° m/f d20 mm	Coude 90° (femelle/mâle) d20 mm
AQ091P25	Winkel 90° I/A d25 mm	Elbow 90° m/f d25mm	Coude 90° (femelle/mâle) d25mm
AQ091P32	Winkel 90° I/A d32 mm	Elbow 90° m/f d32 mm	Coude 90° (femelle/mâle) d32 mm
AQ0926GP321	Winkel 90° AG d32-1" Hexa 6-Kant	Elbow 90° "m" d32-1" Hexa	Coude 90° (filetage mâle Hexa) 90° (filetage mâle) d32-1"
AQ092GP2012	Winkel 90° AG d20-1/2"	Elbow 90° "m" d20-1/2	Coude 90° (filetage mâle) d20-1/2"
AQ092GP2512	Winkel 90° AG d25-1/2"	Elbow 90° "m" d25-1/2"	Coude 90° (filetage mâle) (filetage mâle) d25-1/2"
AQ092GP2534	Winkel 90° AG d25-3/4"	Elbow 90° "m" d25-3/4"	Coude 90° (filetage mâle) d25-3/4"
AQ092GP321	Winkel 90° AG d32-1"	Elbow 90° "m" d32-1"	Coude 90° (filetage mâle) d32-1"
AQ092GP3234	Winkel 90° AG d32-3/4"	Elbow 90° "m" d32-3"	Coude 90° (filetage mâle) d32-3"
AQ1306GP321	T-Stück 90° IG d32-1 Hexa 6-Kant	Tee 90° "f" d32-1" Hexa	Té 90° (filetage femelle Hexa) 90° d32-1"
AQ130GP2012	T-Stück 90° IG d20-1/2"	Tee 90° "f" d20-1/2	Té 90° (filetage femelle) d20-1/2"
AQ130GP2512	T-Stück 90° IG d25-1/2"	Tee 90° "f" d25-1/2"	Té 90° (filetage femelle) d25-1/2"
AQ130GP2534	T-Stück 90° IG d25-3/4"	Tee 90° "f" d25-3/4	Té 90° (filetage femelle) d25-3/4"
AQ130GP321	T-Stück 90° IG d32-1"	Tee 90° "f" d32-1"	Té 90° (filetage femelle) d32-1"
AQ130GP3212	T-Stück 90° IG d32-1/2"	Tee "f" d32-1"	Té (filetage femelle) d32-1"
AQ130GP3234	T-Stück 90° IG d32-3/4"	Tee "f" d32-3"	Té 90° (filetage femelle) d32-3/4"
AQ130P110	T-Stück d110 mm	Tee d110 mm	Té d110 mm
AQ130P11063	T-Stück red. d110-63 mm	Reducing tee d110-63 mm	Té réduit d110-63 mm
AQ130P11075	T-Stück red. d110-75 mm	Reducing tee d110-75 mm	Té réduit d110-75 mm
AQ130P11090	T-Stück red. d110-90 mm	Reducing tee d110-90 mm	Té réduit d110-90 mm
